State,District,Soil_Type,Temperature,Humidity,Rainfall,pH,N,P,K,Crop
Kerala,Pathanamthitta,Laterite,27.78,83.75,2821.72,4.8,89,32,68,Rubber
Kerala,Pathanamthitta,Laterite,25.4,74.02,2120.8,5.32,73,46,55,Rubber
Kerala,Pathanamthitta,Laterite,25.26,75.57,2458.3,5.26,93,43,59,Rubber
Kerala,Kottayam,Laterite,26.17,70.49,2370.73,5.97,88,30,75,Rubber
Kerala,Kottayam,Laterite,25.55,81.34,2441.1,5.4,86,35,71,Rubber
Kerala,Kottayam,Laterite,27.35,92.14,2932.64,4.78,72,34,67,Rubber
Kerala,Kottayam,Laterite,24.94,85.8,2965.92,5.97,98,35,77,Rubber
Kerala,Kottayam,Laterite,24.43,82.0,2939.04,4.64,92,37,69,Rubber
Kerala,Pathanamthitta,Laterite,27.56,73.65,2696.17,5.72,82,46,56,Rubber
Kerala,Pathanamthitta,Laterite,24.7,74.17,2372.07,5.67,75,41,70,Rubber
Kerala,Pathanamthitta,Laterite,24.17,73.66,2978.04,4.67,88,34,70,Rubber
Kerala,Kottayam,Laterite,28.87,72.9,2278.54,4.55,84,41,60,Rubber
Kerala,Kottayam,Laterite,26.15,82.76,2925.58,4.89,84,34,70,Rubber
Kerala,Pathanamthitta,Laterite,26.02,93.61,2552.33,5.82,77,31,78,Rubber
Kerala,Kannur,Loamy,26.87,85.1,1003.88,5.37,95,57,89,Arecanut
Kerala,Malappuram,Loamy,25.76,77.7,1381.5,5.31,94,55,88,Arecanut
Kerala,Malappuram,Loamy,23.42,92.64,1697.15,5.82,119,49,68,Arecanut
Kerala,Malappuram,Loamy,29.22,79.11,1421.06,5.7,108,40,86,Arecanut
Kerala,Kannur,Loamy,29.58,86.64,1022.78,5.91,84,46,79,Arecanut
Kerala,Malappuram,Loamy,28.65,88.04,1512.03,5.27,119,55,84,Arecanut
Kerala,Kannur,Loamy,26.55,86.66,1589.68,6.25,88,55,84,Arecanut
Kerala,Malappuram,Loamy,24.36,80.92,1704.7,5.69,107,52,73,Arecanut
Kerala,Malappuram,Loamy,25.05,76.58,1232.13,5.12,114,46,70,Arecanut
Kerala,Kannur,Loamy,26.06,74.83,1942.51,5.86,101,51,85,Arecanut
Kerala,Malappuram,Loamy,23.21,91.46,1811.63,5.63,102,49,89,Arecanut
Kerala,Malappuram,Loamy,25.6,80.03,1514.41,5.64,108,48,79,Arecanut
Kerala,Kannur,Loamy,24.99,77.51,1054.51,5.83,88,52,61,Arecanut
Kerala,Malappuram,Loamy,23.3,80.47,1687.5,6.24,112,43,61,Arecanut
Kerala,Kannur,Loamy,26.27,79.33,1657.54,6.11,101,52,73,Arecanut
Kerala,Idukki,Loamy,28.16,75.58,1584.58,5.56,126,48,103,Ginger
Kerala,Idukki,Loamy,28.92,71.33,1562.11,6.22,98,57,109,Ginger
Kerala,Wayanad,Loamy,25.83,88.27,1991.34,5.82,99,55,107,Ginger
Kerala,Wayanad,Loamy,27.31,86.31,2204.45,5.96,111,57,103,Ginger
Kerala,Idukki,Loamy,23.2,79.33,2025.59,5.71,124,50,88,Ginger
Kerala,Wayanad,Loamy,26.06,79.57,1553.41,5.55,128,47,109,Ginger
Kerala,Wayanad,Loamy,27.96,87.23,1846.2,5.59,95,53,94,Ginger
Kerala,Idukki,Loamy,23.84,73.32,2408.18,6.29,107,45,109,Ginger
Kerala,Wayanad,Loamy,25.73,93.55,1889.15,6.45,111,46,103,Ginger
Kerala,Idukki,Loamy,28.04,90.66,2368.58,5.5,116,44,81,Ginger
Kerala,Idukki,Loamy,23.58,80.85,2167.44,5.86,112,51,84,Ginger
Kerala,Idukki,Loamy,24.9,87.34,2347.55,6.43,106,58,99,Ginger
Kerala,Idukki,Loamy,27.97,85.24,1678.99,6.18,115,51,80,Ginger
Kerala,Wayanad,Loamy,28.51,72.79,1811.29,6.03,120,42,106,Ginger
Kerala,Wayanad,Loamy,27.14,70.3,2284.86,5.77,97,57,91,Ginger
Kerala,Thrissur,Loamy,24.79,71.01,1911.17,5.66,115,47,74,Turmeric
Kerala,Thrissur,Loamy,29.04,72.64,1556.57,6.04,118,55,99,Turmeric
Kerala,Kozhikode,Loamy,25.03,75.13,1901.8,6.19,110,52,72,Turmeric
Kerala,Thrissur,Loamy,25.33,86.29,1654.74,6.35,115,52,89,Turmeric
Kerala,Thrissur,Loamy,28.04,75.31,1605.55,5.63,111,59,75,Turmeric
Kerala,Thrissur,Loamy,27.6,80.94,1606.57,5.79,96,46,74,Turmeric
Kerala,Kozhikode,Loamy,29.18,91.87,1624.01,5.7,96,40,86,Turmeric
Kerala,Thrissur,Loamy,28.81,81.55,1909.95,5.55,116,50,82,Turmeric
Kerala,Kozhikode,Loamy,26.02,80.76,1757.76,6.3,105,49,87,Turmeric
Kerala,Thrissur,Loamy,29.31,82.21,1606.61,6.2,118,50,77,Turmeric
Kerala,Thrissur,Loamy,24.25,92.79,1816.17,5.79,108,46,80,Turmeric
Kerala,Kozhikode,Loamy,24.53,82.21,1953.46,6.38,83,44,87,Turmeric
Kerala,Kozhikode,Loamy,26.34,82.44,1953.64,5.57,84,55,73,Turmeric
Kerala,Thrissur,Loamy,29.35,73.04,1930.74,5.83,104,48,81,Turmeric
Kerala,Kozhikode,Loamy,27.49,78.77,1580.28,5.66,119,54,75,Turmeric
Kerala,Kollam,Laterite,29.96,81.0,1243.56,5.11,75,35,65,Tapioca
Kerala,Palakkad,Laterite,31.46,93.5,1313.3,6.42,67,31,60,Tapioca
Kerala,Kollam,Laterite,31.55,86.12,1025.78,6.38,67,30,75,Tapioca
Kerala,Palakkad,Laterite,27.03,80.02,1369.99,5.77,63,46,78,Tapioca
Kerala,Palakkad,Laterite,29.35,71.08,1184.4,6.96,84,34,64,Tapioca
Kerala,Kollam,Laterite,25.41,92.99,1179.84,6.73,81,49,82,Tapioca
Kerala,Kollam,Laterite,26.64,90.95,1106.08,5.43,63,40,67,Tapioca
Kerala,Palakkad,Laterite,30.31,79.79,1059.29,6.76,76,42,85,Tapioca
Kerala,Kollam,Laterite,27.14,88.12,1122.79,6.63,73,33,63,Tapioca
Kerala,Kollam,Laterite,28.29,74.67,1227.63,5.25,80,32,64,Tapioca
Kerala,Kollam,Laterite,25.11,94.61,1161.1,6.05,77,30,67,Tapioca
Kerala,Kollam,Laterite,25.34,91.9,1243.59,5.3,88,43,61,Tapioca
Kerala,Palakkad,Laterite,30.86,88.43,1031.25,5.43,82,43,64,Tapioca
Kerala,Palakkad,Laterite,31.88,89.55,1086.19,6.44,60,37,62,Tapioca
Kerala,Kollam,Laterite,26.64,74.78,1025.98,5.14,78,36,67,Tapioca
Kerala,Wayanad,Laterite,20.56,84.59,2375.11,5.93,98,39,75,Cardamom
Kerala,Idukki,Laterite,23.18,73.5,2321.16,4.82,97,37,69,Cardamom
Kerala,Idukki,Laterite,21.81,87.27,1954.2,5.13,75,46,57,Cardamom
Kerala,Wayanad,Laterite,21.56,85.4,2237.36,5.21,72,49,72,Cardamom
Kerala,Idukki,Laterite,21.24,80.11,2321.25,5.04,87,39,63,Cardamom
Kerala,Idukki,Laterite,20.3,87.91,2376.8,5.07,91,39,58,Cardamom
Kerala,Wayanad,Laterite,23.56,77.36,1596.24,6.0,88,48,57,Cardamom
Kerala,Wayanad,Laterite,18.25,75.87,1670.27,4.78,99,49,74,Cardamom
Kerala,Idukki,Laterite,18.96,81.85,1767.59,5.17,98,30,50,Cardamom
Kerala,Wayanad,Laterite,23.61,72.75,1952.93,5.35,86,36,59,Cardamom
Kerala,Wayanad,Laterite,18.95,82.04,1803.94,5.67,80,30,76,Cardamom
Kerala,Idukki,Laterite,19.83,91.11,1991.68,4.55,93,34,74,Cardamom
Kerala,Idukki,Laterite,19.43,83.02,1870.01,5.39,76,38,64,Cardamom
Kerala,Wayanad,Laterite,23.76,81.24,2338.05,5.2,75,44,76,Cardamom
Kerala,Wayanad,Laterite,22.15,80.04,2460.51,4.59,97,36,63,Cardamom
